hidden_size,num_layers,dropout,batch_size,learning_rate,num_epochs,val_loss,mae,directional_accuracy,run_id
256,1,0.3,32,0.001,50,12.823920249938965,3.570725202560425,0.5555555820465088,2d8181f102544ef9abd5eb7fe04e2bbe
256,1,0.3,64,0.001,50,374.1950378417969,19.342212677001953,0.5555555820465088,5376968ad4e24d5aa43f1d4f2eff5d35
256,1,0.5,32,0.001,50,13.179173469543457,3.620129346847534,0.48148149251937866,4de70f29296a4773a96653bce1ca6479
256,1,0.5,64,0.001,50,368.36688232421875,19.190961837768555,0.5308641791343689,eba01781c0f245359652b1d597e8d6aa
256,2,0.3,32,0.001,50,13.916160583496094,3.720526695251465,0.45679011940956116,1eab1c5c982346ed8d8575486b832bb1
256,2,0.3,64,0.001,50,391.2934875488281,19.779272079467773,0.45679011940956116,9c3c2cdb70bd4ddab473453d61bdb75b
256,2,0.5,32,0.001,50,14.340316772460938,3.7770986557006836,0.4691358208656311,22f79c15975940f1bcc745dc9ffb9f27
256,2,0.5,64,0.001,50,344.0555419921875,18.546743392944336,0.4938271641731262,4291b6ed4d53475b9093baaeb249b2c2
256,3,0.3,32,0.001,50,12.594100952148438,3.538397789001465,0.45679011940956116,d9a40f0230624dd9b4a759f8ffcb18e7
256,3,0.3,64,0.001,50,354.6103210449219,18.829137802124023,0.45679011940956116,11133a440d4646259bc9f1defd7b8be6
256,3,0.5,32,0.001,50,13.534433364868164,3.668868064880371,0.45679011940956116,cf4da5494bfd4955aa36485d4f2ee2ec
256,3,0.5,64,0.001,50,351.46148681640625,18.745336532592773,0.45679011940956116,0b800f6116c440248198923864bc4483
512,1,0.3,32,0.001,50,1.020425796508789,0.972931444644928,0.4691358208656311,4c60a18eca2a4fd284a35e3936208705
512,1,0.3,64,0.001,50,3.856862783432007,1.9450035095214844,0.43209877610206604,5b4bdcb859fd4c4e8555769279ce3185
512,1,0.5,32,0.001,50,1.0494019985198975,0.9877044558525085,0.5185185074806213,887f94cb76c64ef096c3dd7fc1a38e5b
512,1,0.5,64,0.001,50,4.635016441345215,2.1356914043426514,0.5802469253540039,24a48404857a4a6188663e3c27713375
512,2,0.3,32,0.001,50,1.0329294204711914,0.9793311953544617,0.45679011940956116,cbff7e547b45425f8f91f69ba355a5d8
512,2,0.3,64,0.001,50,4.790976524353027,2.1718971729278564,0.45679011940956116,815b2e4d27ca46b382a7cc55b5f6c55c
512,2,0.5,32,0.001,50,1.0297343730926514,0.9776985049247742,0.45679011940956116,000a2350d6e2477083c55f37494350da
512,2,0.5,64,0.001,50,4.441251754760742,2.0898354053497314,0.45679011940956116,9e2ed88a8c9043dcb5433ae404da0b20
512,3,0.3,32,0.001,50,1.027363657951355,0.9764854311943054,0.45679011940956116,71a03cac896e4d24af32f0e65f52dfaf
512,3,0.3,64,0.001,50,6.1072773933410645,2.456305503845215,0.45679011940956116,2619dd9901314ee28a20600a062b1638
512,3,0.5,32,0.001,50,1.0455831289291382,0.9857704043388367,0.45679011940956116,ba7f044069cd4c76abe3aafa355ad612
512,3,0.5,64,0.001,50,4.61973237991333,2.1321098804473877,0.45679011940956116,1fa0dd73e05a46f9b3af2ce85dc0ce27
